date,number
7/10/2013,1605576
7/11/2013,1594804
7/12/2013,1597452
7/13/2013,1598259
7/14/2013,1606134
7/15/2013,1613864
7/16/2013,1616693
7/17/2013,1635861
7/18/2013,1638915
7/19/2013,1641470
7/21/2013,1641860
7/22/2013,1661833
7/23/2013,1665743
7/24/2013,1671373
7/25/2013,1675695
7/26/2013,1677517
7/28/2013,1679974
7/29/2013,1683945
7/30/2013,1694277
7/31/2013,1701365
8/1/2013,1705820
8/2/2013,1707952
8/4/2013,1708283
8/5/2013,1718857
8/6/2013,1714485
8/7/2013,1721209
8/8/2013,1723923
8/9/2013,1724584
8/11/2013,1726010
8/12/2013,1728870
8/13/2013,1733914
8/14/2013,1738985
8/15/2013,1741843
8/16/2013,1744155
8/18/2013,1741896
8/19/2013,1754278
8/20/2013,1763747
8/21/2013,1767135
8/22/2013,1775992
8/23/2013,1778420
8/24/2013,1778429
8/25/2013,1779634
8/26/2013,1787366
8/27/2013,1813578
8/28/2013,1820862
8/29/2013,1830557
8/31/2013,1834708
9/1/2013,1840028
9/2/2013,1855939
9/3/2013,1866429
9/4/2013,1869063
9/5/2013,1872067
9/6/2013,1874246
9/9/2013,1877020
9/12/2013,1885818
9/14/2013,1889185
9/16/2013,1928940
9/17/2013,1932391
9/18/2013,1961539
9/19/2013,1962989
9/21/2013,1969213
9/22/2013,1981868
9/23/2013,1985111
9/24/2013,1993915
9/25/2013,1993882
9/26/2013,1994779
9/27/2013,2002456
9/29/2013,2002825
9/30/2013,2005752
10/1/2013,2017839
10/2/2013,2030271
10/3/2013,2041175
10/4/2013,2043805
10/6/2013,2046232
10/7/2013,2053173
10/8/2013,2061018
10/9/2013,2065004
10/10/2013,2070846
10/11/2013,2070850
10/13/2013,2071459
10/14/2013,2077517
10/16/2013,2079904
10/17/2013,2083652
10/19/2013,2086233
10/20/2013,2086967
10/21/2013,2089473
10/22/2013,2095450
10/23/2013,2100034
10/24/2013,2103707
10/25/2013,2109426
10/27/2013,2109535
10/28/2013,2114725
10/29/2013,2117104
10/30/2013,2106920
10/31/2013,2112829
11/1/2013,2113414
11/2/2013,2119120
11/3/2013,2121535
11/4/2013,2121572
11/5/2013,2159923
11/6/2013,2158212
11/7/2013,2153072
11/8/2013,2178259
11/10/2013,2179837
11/11/2013,2167774
11/12/2013,2173086
11/13/2013,2176160
11/14/2013,2179458
11/15/2013,2181948
11/17/2013,2188409
11/18/2013,2191223
11/19/2013,2196605
11/20/2013,2202071
11/21/2013,2205419
11/24/2013,2205562
11/25/2013,2208673
11/26/2013,2216699
11/27/2013,2229191
11/28/2013,2233205
11/30/2013,2246131
12/2/2013,2246171
12/3/2013,2252398
12/4/2013,2256118
12/5/2013,2259342
12/6/2013,2261500
12/8/2013,2264623
12/9/2013,2269094
12/10/2013,2272818
12/11/2013,2275733
12/12/2013,2279654
12/14/2013,2282276
12/15/2013,2283182
12/16/2013,2299705
12/17/2013,2299696
12/18/2013,2306664
12/19/2013,2308438
12/22/2013,2309788
12/23/2013,2314211
12/24/2013,2315552
12/25/2013,2316800
12/26/2013,2320154
12/27/2013,2322264
12/29/2013,2325350
12/30/2013,2327737
12/31/2013,2301668
1/1/2014,2301533
1/2/2014,2303746
1/3/2014,2304870
1/5/2014,2310299
1/6/2014,2316667
1/7/2014,2319063
1/8/2014,2321837
1/9/2014,2325533
1/10/2014,2330256
1/12/2014,2332239
1/13/2014,2332688
1/14/2014,2335685
1/15/2014,2344470
1/16/2014,2346697
1/18/2014,2348875
1/19/2014,2354593
1/20/2014,2364103
1/21/2014,2366732
1/22/2014,2373446
1/23/2014,2377984
1/24/2014,2380063
1/26/2014,2383367
1/27/2014,2388054
1/28/2014,2391309
1/29/2014,2394028
1/30/2014,2396806
1/31/2014,2398976
2/2/2014,2412679
2/3/2014,2416113
2/4/2014,2417736
2/5/2014,2426077
2/6/2014,2433755
2/7/2014,2435767
2/9/2014,2444567
2/10/2014,2447731
2/11/2014,2450156
2/12/2014,2453278
2/13/2014,2429299
2/14/2014,2431147
2/16/2014,2440448
2/17/2014,2438687
2/18/2014,2443007
2/19/2014,2444928
2/20/2014,2448919
2/21/2014,2450810
2/23/2014,2461136
2/24/2014,2464006
2/25/2014,2465337
2/26/2014,2470945
2/27/2014,2474297
2/28/2014,2481506
3/2/2014,2481606
3/3/2014,2483975
3/4/2014,2486221
3/5/2014,2493848
3/6/2014,2495768
3/7/2014,2498312
3/9/2014,2510517
3/10/2014,2512901
3/11/2014,2516257
3/12/2014,2518356
3/13/2014,2520267
3/15/2014,2522944
3/16/2014,2530929
3/17/2014,2532253
3/18/2014,2534613
3/19/2014,2537014
3/20/2014,2540148
3/22/2014,2542240
3/23/2014,2544736
3/24/2014,2547889
3/25/2014,2551671
3/26/2014,2554371
3/27/2014,2556972
3/28/2014,2558091
3/30/2014,2575825
3/31/2014,2577318
4/1/2014,2580070
4/2/2014,2582765
4/3/2014,2585182
4/5/2014,2600675
4/6/2014,2600104
4/7/2014,2604403
4/8/2014,2606994
4/9/2014,2609645
4/10/2014,2611099
4/12/2014,2614079
4/13/2014,2647871
4/14/2014,2650244
4/15/2014,2636777
4/16/2014,2638509
4/17/2014,2641162
4/20/2014,2643913
4/21/2014,2643822
4/22/2014,2646559
4/23/2014,2646151
4/24/2014,2645970
4/25/2014,2653939
4/26/2014,2659538
4/27/2014,2659650
4/28/2014,2662432
4/29/2014,2668061
4/30/2014,2689288
5/1/2014,2689042
5/2/2014,2691072
5/4/2014,2690478
5/5/2014,2692700
5/6/2014,2694465
5/7/2014,2696844
5/8/2014,2699229
5/10/2014,2702137
5/11/2014,2708667
5/12/2014,2712114
5/13/2014,2715365
5/14/2014,2717488
5/15/2014,2724284
5/17/2014,2725696
5/19/2014,2733015
5/20/2014,2738202
5/21/2014,2740097
5/22/2014,2739946
5/25/2014,2753851
5/26/2014,2753762
5/27/2014,2760844
5/28/2014,2760912
5/29/2014,2765333
5/30/2014,2768729
5/31/2014,2764840
6/1/2014,2769197
6/2/2014,2771122
6/3/2014,2772797
6/4/2014,2767493
6/5/2014,2771856
6/7/2014,2773764
6/8/2014,2785847
6/9/2014,2787653
6/10/2014,2789496
6/11/2014,2791282
6/12/2014,2793239
6/13/2014,2794928
6/15/2014,2809716
6/16/2014,2811630
6/17/2014,2814056
6/18/2014,2815534
6/19/2014,2817419
6/21/2014,2819580
6/22/2014,2826072
6/23/2014,2827746
6/24/2014,2829809
6/25/2014,2829874
6/26/2014,2835736
6/28/2014,2838021
6/29/2014,2843825
6/30/2014,2846508
7/1/2014,2853755
7/2/2014,2853957
7/3/2014,2854557
7/5/2014,2860437
7/6/2014,2863890
7/7/2014,2864222
7/8/2014,2864454
7/9/2014,2868519
7/10/2014,2870614
7/12/2014,2872949
7/13/2014,2878882
7/14/2014,2880889
7/15/2014,2878711
7/16/2014,2878313
7/17/2014,2882045
7/19/2014,2884356
7/20/2014,2889158
7/21/2014,2891146
7/22/2014,2893207
7/23/2014,2895647
7/24/2014,2897765
7/26/2014,2899367
7/27/2014,2899745
7/29/2014,2906595
7/30/2014,2909235
7/31/2014,2913677
8/1/2014,2915449
8/3/2014,2915376
8/4/2014,2917530
8/5/2014,2918993
8/6/2014,2920401
8/7/2014,2922087
8/8/2014,2923522
8/10/2014,2931539
8/11/2014,2934138
8/12/2014,2935407
8/13/2014,2934957
8/14/2014,2937725
8/15/2014,2938042
8/17/2014,2940466
8/18/2014,2942398
