"DATE","LAT","LONG","HUMANNAME","COUNT","GOLDSTEIN","SAMPLEURL","TITLE"
"20151011","36.2028","37.1586","Aleppo, ?alab, Syria","82","-9.39390243902439","http://www.veteranstoday.com/2015/10/11/confirmed-rebel-flown-f16s-flying-from-us-base-in-turkey-attack-aleppo/","Confirmed:  F16s Flying from US Base in Turkey Attack Aleppo | Veterans Today"
"20151118","35.95","39.0167","Raqqa, Ar Raqqah, Syria","82","-9.306097560975612","http://www.express.co.uk/news/world/620591/ISIS-France-nuclear-warship-wipe-out-jihadis-Hollande-Putin","France sends nuclear warship to Raqqa ISIS stronghold as Hollande joins Putin in revenge | World | News | Daily Express"
"20131223","36.2028","37.1586","Aleppo, ?alab, Syria","81","-9.274074074074075","http://www.dailystar.com.lb/News/Lebanon-News/2013/Dec-23/242100-hezbollah-ambush-islamist-fighters-in-e-lebanon-kill-32.ashx","none"
"20140226","33.5","36.3","Damascus, Dimashq, Syria","81","-9.222222222222221","http://news.xinhuanet.com/english/world/2014-02/27/c_133146071.htm","U.S. says Syria targets kins of opposition delegates to peace talks - Xinhua | English.news.cn"
"20130927","33.5","36.3","Damascus, Dimashq, Syria","81","-9.32716049382716","http://www.yourmiddleeast.com/news/us-and-russia-put-syria-resolution-to-un-council_18280","US and Russia put Syria resolution to UN Council - Your Middle East"
"20131014","33.5","36.3","Damascus, Dimashq, Syria","80","-8.254999999999999","http://www.ndtv.com/article/world/bomb-kills-27-in-syria-as-kidnapped-aid-workers-freed-432394","Bomb kills 27 in Syria as kidnapped aid workers freed"
"20151019","36.2028","37.1586","Aleppo, ?alab, Syria","80","-9.5425","http://www.dailymail.co.uk/wires/afp/article-3322048/Russia-conducts-air-strikes-IS-stronghold-Raqa.html","Russia strikes IS stronghold Raqa after warning US | Daily Mail Online"
"20150821","33.5","36.3","Damascus, Dimashq, Syria","80","-9.582500000000001","http://sentinelrepublic.com/hrw-urges-syria-arms-embargo-after-deadly-regime-strikes/84799/","none"
"20131013","33.5","36.3","Damascus, Dimashq, Syria","80","-8.69375","http://www.digitaljournal.com/article/360180","Op-Ed: Kurdish comrades"
"20151017","36.2028","37.1586","Aleppo, ?alab, Syria","79","-9.386075949367088","http://rapidnewsnetwork.com/iran-deploys-hundreds-of-troops-to-syria/235460/","none"
"20140924","36.2028","37.1586","Aleppo, ?alab, Syria","79","-9.867088607594937","http://news.sky.com/story/1341620/mps-to-vote-on-airstrikes-against-islamic-state","MPs To Vote On Airstrikes Against Islamic State"
"20150521","33.5","36.3","Damascus, Dimashq, Syria","79","-9.08481012658228","http://www.bignewsnetwork.com/index.php/sid/233058745","none"
"20131219","36.2028","37.1586","Aleppo, ?alab, Syria","79","-8.735443037974683","http://www.worldbulletin.net/?aType=haber&ArticleID=125304","﻿﻿Syria uses “barrel bombs” in Aleppo | Middle East |  Worldbulletin News","none"
"20130921","33.5","36.3","Damascus, Dimashq, Syria","79","-9.083544303797469","http://www.thestar.com.my/Opinion/Columnists/Behind-The-Headlines/Profile/Articles/2013/09/22/Ups-and-downs-in-Syria.aspx","Ups and downs in Syria -  | The Star Online"
"20130811","33.5","36.3","Damascus, Dimashq, Syria","78","-9.262820512820513","http://www.israelnationalnews.com/News/News.aspx/170782","Syrian Rebels Claim 40 Hizbullah Terrorists Killed - Middle East - News  - Arutz Sheva"
"20151001","35.9306","36.6339","Idlib, Idlib, Syria","78","-9.573076923076924","http://graphic.com.gh/international/international-news/50469-syria-conflict-russia-defends-air-strikes.html","Syria conflict: Russia defends air strikes - Graphic Online"
"20151018","36.2028","37.1586","Aleppo, ?alab, Syria","77","-9.133766233766236","http://www.foxnews.com/on-air/special-report-bret-baier/blog/2015/11/17/russian-long-range-bombers-launched-isis-mission-base-southern-russia","none"
"20140927","35.95","39.0167","Raqqa, Ar Raqqah, Syria","76","-9.65921052631579","http://www.scotsman.com/news/uk/we-underestimated-threat-is-posed-admits-obama-1-3555850","‘We underestimated threat IS posed’ admits Obama - The Scotsman","none"
"20140831","32.9049","35.8072","Golan Heights, Syria (general), Syria","76","-9.061842105263159","http://www.dw.de/filipino-un-troops-escape-golan-heights-militants-fijians-still-detained/a-17891299","Filipino UN troops escape Golan Heights militants, Fijians still detained | News | DW.COM | 31.08.2014"
"20140829","32.9049","35.8072","Golan Heights, Syria (general), Syria","76","-8.988157894736842","http://www.todayszaman.com/_syrian-rebels-assad-forces-clash-in-golan-heights-fijians-still-held_357328.html","none"
"20150119","33.5","36.3","Damascus, Dimashq, Syria","76","-9.361842105263158","http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=37589:kurds-battle-assads-forces-in-syria-opening-new-front-in-civil-war&catid=115:middle-east&Itemid=251","Kurds battle Assad's forces in Syria, opening new front in civil war | defenceWeb"
"20140827","32.9049","35.8072","Golan Heights, Syria (general), Syria","76","-8.901315789473685","http://www.middleeaststar.com/index.php/sid/225139651/scat/940f2bfd509e743b","none"
"20140323","33.5","36.3","Damascus, Dimashq, Syria","76","-9.660526315789474","http://www.hindustantimes.com/news-feed/ap-world/turkish-jet-downs-syrian-warplane-near-border/article1-1199491.aspx","none"
"20130922","33.5","36.3","Damascus, Dimashq, Syria","75","-9.492","http://swampland.time.com/2013/09/20/diplomacy-imperils-washingtons-allies-in-syria/?xid=rss-topstories&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+time%2Ftopstories+%28TIME%3A+Top+Stories%29","Diplomacy Imperils Washington’s Allies in Syria | TIME.com","none"
"20130820","33.5","36.3","Damascus, Dimashq, Syria","75","-9.552","http://voiceofrussia.com/news/2013_08_28/Lawmakers-urge-Obama-to-seek-congressional-OK-on-Syria-strike-1915/","Lawmakers urge Obama to seek congressional OK on Syria strike - News - World - The Voice of Russia: News, Breaking news, Politics, Economics, Business, Russia, International current events, Expert opinion, podcasts, Video"
"20140825","32.9049","35.8072","Golan Heights, Syria (general), Syria","75","-7.62","http://www.firstpost.com/world/gaza-live-at-least-eight-palestinians-killed-in-israeli-strikes-since-sunday-1671989.html","Gaza live: Israel accepts 'unlimited' truce, confirms government"
"20151013","33.5","36.3","Damascus, Dimashq, Syria","75","-8.998666666666669","http://www.globalsecurity.org/wmd/library/news/iraq/2015/iraq-151013-presstv02.htm","Iraq bombs Daesh based on Quartet intelligence"
"20151008","35.9306","36.6339","Idlib, Idlib, Syria","75","-9.577333333333332","http://pakobserver.net/detailnews.asp?id=275137","Russia, Iran flex muscle in Syria, US short on options"
"20130808","33.5","36.3","Damascus, Dimashq, Syria","75","-9.6","http://www.trust.org/item/20130907074320-c43f8","Islamist rebels say they killed Syria's Hama governor"
"20140316","33.9674","36.6574","Yabrud, Rif Dimashq, Syria","74","-9.177027027027027","http://english.al-akhbar.com/content/suicide-bomber-kills-four-east-lebanon?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+AlAkhbarEnglish+%28Al+Akhbar+English%29","none"
"20151005","33.5","36.3","Damascus, Dimashq, Syria","74","-8.756756756756754","http://usofarn.com/tag/vladimir-putin/","Vladimir Putin | USofArn.com"
"20130928","33.5","36.3","Damascus, Dimashq, Syria","74","-8.806756756756757","http://www.laht.com/article.asp?ArticleId=1045316&CategoryId=12395","Latin American Herald Tribune - UN Security Council Approves Resolution on Syrias Chemical Weapons","none"
"20130925","33.5","36.3","Damascus, Dimashq, Syria","74","-9.32972972972973","http://www.menafn.com/1093702486/Jordan-Assaulted-Teenage-girl-refugee-camp","Jordan- Assaulted: Teenage girl in refugee camp | MENAFN.COM"
"20151030","33.5","36.3","Damascus, Dimashq, Syria","73","-9.26164383561644","http://wkzo.com/news/articles/2015/oct/30/us-to-send-special-forces-to-syria-truce-sought-after-peace-talks/","U.S. to send special forces to Syria, truce sought after peace talks - News - AM 590 - WKZO Everything Kalamazoo"
"20140318","33.5","36.3","Damascus, Dimashq, Syria","73","-7.2","http://www.allvoices.com/contributed-news/16724393-on-the-ground-in-syria-justice-by-sharia-court","Pulsepoint"
"20151002","35.9306","36.6339","Idlib, Idlib, Syria","73","-9.450684931506851","http://globalnews.ca/news/2255828/france-tells-putin-that-russia-must-confine-airstrikes-in-syria-to-is-targets/","France tells Putin that Russia must confine airstrikes in Syria to IS targets - National | Globalnews.ca"
